# %ECSV 0.9
# ---
# datatype:
# - {name: name, datatype: U15, description: Emission-line name}
# - {name: kind, datatype: U10, description: what kind of line (Balmer, Helium, metal)}
# - {name: lvac, unit: AA, datatype: float64, description: line wavelength in vacuum}
# - {name: GutkinCharlot-name, datatype: U15, description: name of emission line in GutkinCharlot}
# - {name: MPL-6-name, datatype: U15, description: name of emission line in MPL-6}
# - {name: CloudyFSPS-name, datatype: U13, description: name of emission line in CloudyFSPS}
# - {name: d13-name, datatype: U10, description: name of emission line in Dopita+13}
# delimiter: ','

 name           , kind        , lvac         , GutkinCharlot-name    , MPL-6-name     , CloudyFSPS-name , d13-name  
 H-alpha        , X-bright    , 6562.790     , Ha                    , Ha-6564        , H  1 6562.85A   , halpha    
 H-beta	        , X-bright    , 4861.350     , Hb                    , Hb-4862        , H  1 4861.36A   , hbeta     
 H-gamma        , X-bright    , 4340.437     , None                  , Hgam-4341      , H  1 4340.49A   , hgamma    
 H-delta        , X-bright    , 4101.709     , None                  , Hdel-4102      , H  1 4101.76A   , None      
 H-epsilon      , X-bright    , 3970.075     , None                  , Heps-3791      , H  1 3970.09A   , None      
 H-8            , X-dim       , 3889.064     , None                  , Hzet-3890      , H  1 3889.07A   , None      
 H-9            , X-dim       , 3835.397     , None                  , Heta-3836      , H  1 3835.40A   , None      
 H-10           , X-dim       , 3797.900     , None                  , Hthe-3798      , H  1 3797.92A   , None      
 H-11           , X-dim       , 3770.633     , None                  , None           , None            , None      
 H-12           , X-dim       , 3750.151     , None                  , None           , None            , None      
 H-13           , X-dim       , 3734.369     , None                  , None           , None            , None      
 H-14           , X-dim       , 3721.946     , None                  , None           , None            , None      
 H-15           , X-dim       , 3711.978     , None                  , None           , None            , None      
 H-16           , X-dim       , 3703.859     , None                  , None           , None            , None      
 H-17           , X-dim       , 3697.157     , None                  , None           , None            , None      
 H-18           , X-dim       , 3691.551     , None                  , None           , None            , None      
 H-19           , X-dim       , 3686.931     , None                  , None           , None            , None      
 H-20           , X-dim       , 3682.823     , None                  , None           , None            , None      
 H-21           , X-dim       , 3679.370     , None                  , None           , None            , None      
 H-22           , X-dim       , 3676.376     , None                  , None           , None            , None      
 H-23           , X-dim       , 3673.810     , None                  , None           , None            , None      
 H-24           , X-dim       , 3671.320     , None                  , None           , None            , None      
 H-25           , X-dim       , 3669.450     , None                  , None           , None            , None      
 H-26           , X-dim       , 3667.730     , None                  , None           , None            , None      
 H-27           , X-dim       , 3666.080     , None                  , None           , None            , None      
 H-28           , X-dim       , 3664.650     , None                  , None           , None            , None      
 H-29           , X-dim       , 3663.410     , None                  , None           , None            , None      
 H-30           , X-dim       , 3662.220     , None                  , None           , None            , None      
 HeI-5876       , Y           , 5875.621     , None                  , He-5877        , He 1 5875.61A   , hei5875   
 HeI-3819       , Y           , 3819.607     , None                  , None           , He 1 3819.60A   , None      
 HeI-3889       , Y           , 3888.648     , None                  , None           , He 1 3888.63A   , None      
